ID,Species,Weight,Length1,Length2,Length3,Height,Width
94,Perch,145,20.7,22.7,24.2,5.9532,3.63
95,Perch,150,21,23,24.5,5.2185,3.626
96,Perch,170,21.5,23.5,25,6.275,3.725
97,Perch,225,22,24,25.5,7.293,3.723
98,Perch,145,22,24,25.5,6.375,3.825
99,Perch,188,22.6,24.6,26.2,6.7334,4.1658
100,Perch,180,23,25,26.5,6.4395,3.6835
101,Perch,197,23.5,25.6,27,6.561,4.239
102,Perch,218,25,26.5,28,7.168,4.144
103,Perch,300,25.2,27.3,28.7,8.323,5.1373
104,Perch,260,25.4,27.5,28.9,7.1672,4.335
105,Perch,265,25.4,27.5,28.9,7.0516,4.335
106,Perch,250,25.4,27.5,28.9,7.2828,4.5662
107,Perch,250,25.9,28,29.4,7.8204,4.2042
108,Perch,300,26.9,28.7,30.1,7.5852,4.6354
109,Perch,320,27.8,30,31.6,7.6156,4.7716
110,Perch,514,30.5,32.8,34,10.03,6.018
111,Perch,556,32,34.5,36.5,10.2565,6.3875
112,Perch,840,32.5,35,37.3,11.4884,7.7957
113,Perch,685,34,36.5,39,10.881,6.864
114,Perch,700,34,36,38.3,10.6091,6.7408
115,Perch,700,34.5,37,39.4,10.835,6.2646
116,Perch,690,34.6,37,39.3,10.5717,6.3666
117,Perch,900,36.5,39,41.4,11.1366,7.4934
118,Perch,650,36.5,39,41.4,11.1366,6.003
119,Perch,820,36.6,39,41.3,12.4313,7.3514
120,Perch,850,36.9,40,42.3,11.9286,7.1064
121,Perch,900,37,40,42.5,11.73,7.225
122,Perch,1015,37,40,42.4,12.3808,7.4624
123,Perch,820,37.1,40,42.5,11.135,6.63
124,Perch,1100,39,42,44.6,12.8002,6.8684
125,Perch,1000,39.8,43,45.2,11.9328,7.2772
126,Perch,1100,40.1,43,45.5,12.5125,7.4165
127,Perch,1000,40.2,43.5,46,12.604,8.142
128,Perch,1000,41.1,44,46.6,12.4888,7.5958
129,Pike,200,30,32.3,34.8,5.568,3.3756
130,Pike,300,31.7,34,37.8,5.7078,4.158
131,Pike,300,32.7,35,38.8,5.9364,4.3844
132,Pike,300,34.8,37.3,39.8,6.2884,4.0198
133,Pike,430,35.5,38,40.5,7.29,4.5765
134,Pike,345,36,38.5,41,6.396,3.977
135,Pike,456,40,42.5,45.5,7.28,4.3225
136,Pike,510,40,42.5,45.5,6.825,4.459
137,Pike,540,40.1,43,45.8,7.786,5.1296
138,Pike,500,42,45,48,6.96,4.896
139,Pike,567,43.2,46,48.7,7.792,4.87
140,Pike,770,44.8,48,51.2,7.68,5.376
141,Pike,950,48.3,51.7,55.1,8.9262,6.1712
142,Pike,1250,52,56,59.7,10.6863,6.9849
143,Pike,1600,56,60,64,9.6,6.144
144,Pike,1550,56,60,64,9.6,6.144
145,Pike,1650,59,63.4,68,10.812,7.48
146,Smelt,6.7,9.3,9.8,10.8,1.7388,1.0476
147,Smelt,7.5,10,10.5,11.6,1.972,1.16
148,Smelt,7,10.1,10.6,11.6,1.7284,1.1484
149,Smelt,9.7,10.4,11,12,2.196,1.38
150,Smelt,9.8,10.7,11.2,12.4,2.0832,1.2772
151,Smelt,8.7,10.8,11.3,12.6,1.9782,1.2852
152,Smelt,10,11.3,11.8,13.1,2.2139,1.2838
153,Smelt,9.9,11.3,11.8,13.1,2.2139,1.1659
154,Smelt,9.8,11.4,12,13.2,2.2044,1.1484
155,Smelt,12.2,11.5,12.2,13.4,2.0904,1.3936
156,Smelt,13.4,11.7,12.4,13.5,2.43,1.269
157,Smelt,12.2,12.1,13,13.8,2.277,1.2558
158,Smelt,19.7,13.2,14.3,15.2,2.8728,2.0672
159,Smelt,19.9,13.8,15,16.2,2.9322,1.8792
